popularity,vote_count,release_year,cluster
41.679,6103,1988,2
57.816,12328,1989,1
85.639,6943,2003,1
53.992,353,2017,0
113.648,18478,2010,1
58.674,335,2022,0
22.075,396,1947,2
27.585,1245,2008,0
33.029,534,1967,2
374.207,4415,1990,1
15.814,484,1963,2
74.862,7073,2016,1
29.102,437,2016,0
10.285,458,1961,2
52.232,1501,1946,2
74.898,6099,2019,0
18.155,597,1962,2
53.887,13753,2015,1
17.437,3635,2008,0
19.07,730,1982,2
118.258,3746,1977,2
43.177,1036,2019,0
57.769,1684,1985,2
29.097,745,1930,2
22.456,2910,2016,0
63.218,7742,1985,2
191.513,4328,1986,1
231.041,15790,2016,1
10.604,1097,1984,2
64.534,6717,2019,0
69.658,4079,2008,0
45.57,1769,2014,0
55.552,3928,2002,0
192.416,2283,1979,2
8.929,359,1980,2
26.687,447,1962,2
14.622,631,1995,0
44.074,8450,2010,1
193.947,5875,2023,1
24.027,1524,2010,0
64.824,6351,2003,0
225.067,16483,2001,1
186.904,4008,1980,1
11.161,599,2020,0
15.566,1335,2016,0
67.172,2919,2010,0
40.074,407,2010,0
60.161,3570,2022,0
129.874,15170,2014,1
102.741,9604,1991,1
28.245,2407,2020,0
24.486,1522,2012,0
22.138,515,2001,0
107.489,1161,2023,0
18.961,457,1961,2
30.478,452,2021,0
8.273,637,2013,0
29.329,635,2022,0
128.083,3406,1999,0
12.867,479,1964,2
15.557,590,2006,0
110.975,7667,1973,1
25.476,769,1966,2
56.395,10260,2008,1
91.258,1148,2023,0
24.985,650,2017,0
17.618,767,1959,2
41.964,4079,1993,0
29.465,1337,1967,2
12.693,341,2008,0
35.349,682,2021,0
16.355,1308,2017,0
43.888,1253,2014,0
23.039,841,2013,0
60.279,3117,1965,2
26.602,1445,1999,0
34.56,707,2021,0
258.409,6277,2022,1
28.437,1386,2009,0
68.621,1430,2019,0
39.761,831,2016,0
58.91,6857,2013,0
161.451,21257,2002,1
57.302,2327,2004,0
9.226,650,2016,0
41.053,1584,1941,2
27.532,1188,1997,0
35.344,1011,1998,0
15.323,371,1974,2
97.998,12500,1990,1
17.041,642,1965,2
20.569,1010,1971,2
58.799,2741,2004,0
106.425,796,2023,0
197.645,29978,2012,1
21.206,560,2018,0
15.466,438,2015,0
22.942,851,2010,0
10.232,854,2020,0
31.543,2917,2020,0
41.535,762,1963,2
107.345,10403,2014,1
48.0,1329,1956,2
205.896,20306,2005,1
39.776,634,2021,0
19.724,937,2014,0
14.771,1015,2012,0
132.715,17130,2004,1
28.2,1270,1991,2
35.186,2038,1995,0
27.2,573,1953,2
9.707,374,2015,0
42.305,952,1995,0
15.895,386,1960,2
16.79,839,2001,0
31.891,1880,1922,2
28.683,489,1986,2
19.839,365,1956,2
86.151,5924,2020,0
23.674,536,1971,2
19.876,350,1943,2
16.332,375,1946,2
15.816,629,2022,0
45.147,5649,2012,0
18.129,520,1986,2
26.29,480,2022,0
21.776,699,2019,0
18.521,353,1965,2
66.341,4398,2002,0
123.059,18820,2009,1
24.674,1243,2010,0
29.7,476,1997,0
67.022,1920,2022,0
24.101,430,2019,0
14.53,607,2016,0
19.162,696,1998,0
39.616,441,2021,0
9.44,359,1943,2
52.114,6139,2009,0
30.201,765,2013,0
20.55,6825,2006,0
78.767,1189,2022,0
465.118,9495,2022,1
29.105,642,1997,0
41.402,914,1961,2
117.267,19160,2015,1
22.607,577,1972,2
106.004,14037,2010,1
10.965,661,2014,0
49.605,1315,1963,2
15.031,304,2019,0
116.898,5465,2020,1
12.48,337,1966,2
46.628,580,1945,2
129.005,18870,2007,1
28.811,1586,1951,2
242.261,8363,2023,1
16.784,351,1988,2
19.125,639,1962,2
33.525,1020,2019,0
19.359,438,1990,2
35.997,622,1970,2
36.737,1345,1952,2
59.979,2047,1979,2
50.965,4364,1987,2
61.996,3156,1985,2
83.139,2297,2021,0
34.604,1298,2019,0
16.693,509,1949,2
40.517,1961,2021,0
21.689,446,2014,0
48.913,578,1950,2
6.746,434,2018,0
11.534,443,2015,0
43.491,1561,1988,2
23.245,1967,2016,0
76.632,9257,2014,1
10.233,603,1998,0
17.215,326,1961,2
17.349,486,2013,0
22.633,1718,1976,2
48.499,4038,1961,2
71.44,3800,1993,0
14.212,562,1967,2
13.937,1093,1997,0
16.855,380,1964,2
34.819,4898,2020,0
47.29,18246,2014,1
13.863,340,2011,0
29.738,2941,2005,0
19.84,902,1973,2
17.77,466,2018,0
8.363,303,1983,2
88.174,10960,2000,1
53.251,1437,1956,2
32.129,3814,2018,0
14.192,346,1948,2
422.567,12481,1984,1
37.242,1691,2002,0
24.876,514,2019,0
34.097,705,1998,0
230.345,9972,1975,1
34.342,550,1997,0
219.29,3983,2023,1
10.728,490,2016,0
22.683,320,1997,0
12.521,331,1982,2
27.25,1595,1993,2
42.741,410,2021,0
21.327,582,2018,0
19.17,365,1965,2
27.623,654,1953,2
59.381,3223,1996,0
35.495,2699,2010,0
32.321,2785,2020,0
13.737,656,2013,0
25.768,829,2012,0
11.972,1611,2000,0
22.887,308,2002,0
98.658,3293,1968,2
24.006,1050,1976,2
149.692,10899,1992,1
60.567,3190,1967,2
33.617,446,1949,2
32.046,1801,1999,0
152.981,2109,2022,0
83.541,4028,2007,0
136.149,3575,2023,0
66.148,3002,1997,0
70.998,3055,2020,0
128.184,4989,2021,1
177.134,25680,2008,1
18.208,882,1944,2
29.696,1153,2015,0
17.371,466,1953,2
17.326,546,1945,2
41.862,1174,1999,0
22.824,518,2002,0
34.627,374,2020,0
52.236,332,2022,0
15.459,356,2021,0
8.498,447,2019,0
45.991,1580,2011,0
22.866,714,1958,2
100.329,4566,2022,0
39.358,3453,2016,0
22.613,639,1971,2
24.634,926,1995,0
52.333,1056,1939,2
22.261,541,2014,0
87.338,16168,2014,1
52.209,1029,2021,0
12.12,380,1997,0
40.276,1600,1987,2
66.2,2479,2000,0
51.74,337,2022,0
42.703,413,2021,0
